VWAP,Volume,EMA
1013.55,4717887.0,1013.55
1004.54,2117181.0,1012.1985
1019.25,2332076.0,1013.2562249999999
1019.38,1215157.0,1014.1747912499998
1008.58,2360600.0,1013.3355725624998
1006.47,1815142.0,1012.3057366781248
1008.57,1474402.0,1011.7453761764061
1003.89,1530150.0,1010.5670697499452
1011.16,1355766.0,1010.6560092874533
1007.76,1832842.0,1010.2216078943353
996.8,2251350.0,1008.2083667101849
1000.1,1678410.0,1006.9921117036572
989.57,1847026.0,1004.3787949481086
983.44,2157871.0,1001.2379757058923
975.84,1771813.0,997.4282793500084
971.87,2605147.0,993.5945374475072
971.42,2835983.0,990.268356830381
972.71,1823835.0,987.6346033058237
965.84,1548675.0,984.3654128099502
962.24,3819644.0,981.0466008884576
960.92,1862513.0,978.027610755189
960.26,1510195.0,975.3624691419107
964.72,2215832.0,973.766098770624
971.28,1989152.0,973.3931839550304
952.53,4734482.0,970.2637063617758
951.25,2994556.0,967.4116504075095
951.57,2001392.0,965.035402846383
953.52,1412106.0,963.3080924194255
958.89,1879695.0,962.6453785565117
955.16,2189113.0,961.5225717730349
964.42,2228093.0,961.9571860070796
958.92,2218687.0,961.5016081060176
954.68,1955757.0,960.4783668901149
958.03,1687239.0,960.1111118565977
965.22,1626129.0,960.877445078108
978.5,1857923.0,963.5208283163918
973.91,1534322.0,965.079204068933
983.03,2473222.0,967.771823458593
981.61,1394675.0,969.847549939804
987.98,3045795.0,972.5674174488335
985.7,1822710.0,974.5373048315084
979.86,1671570.0,975.3357091067821
987.77,1544121.0,977.2008527407647
1007.49,1423990.0,981.7442248296501
1011.34,1110974.0,986.1835911052026
1014.34,1786844.0,990.4070524394222
1011.67,3246327.0,993.5964945735088
1007.12,1445693.0,995.6250203874824
999.67,1768817.0,996.2317673293601
996.83,1217390.0,996.3215022299561
999.58,2174563.0,996.8102768954626
990.9,1638094.0,995.9237353611431
989.16,1216575.0,994.9091750569717
969.25,3485350.0,991.060298798426
972.7,2377746.0,988.306253978662
967.5,2911028.0,985.1853158818626
968.38,2777173.0,982.6645184995832
988.2,2009995.0,983.4948407246458
976.2,3152556.0,982.4006146159488
965.02,3087472.0,979.7935224235564
971.2,1197830.0,978.504494060023
972.2,1062645.0,977.5588199510196
964.48,2676958.0,975.5969969583666
953.75,6902170.0,972.3199474146116
954.11,2180917.0,969.5884553024199
958.54,1296607.0,967.9311870070568
957.72,2014927.0,966.3995089559983
951.84,1814239.0,964.2155826125986
948.69,2625163.0,961.8867452207088
936.51,2956985.0,958.0802334376025
928.85,3014019.0,953.6956984219621
926.22,1309343.0,949.5743436586678
938.04,1382485.0,947.8441921098675
936.61,3057684.0,946.1590632933874
945.44,2953574.0,946.0512037993793
945.4,2331464.0,945.9535232294725
959.02,4137189.0,947.9134947450515
958.17,5344765.0,949.4519705332938
960.7,2624815.0,951.1391749532997
973.98,5595631.0,954.5652987103048
983.55,3261906.0,958.9130039037591
994.55,3734815.0,964.2585533181953
1010.91,3629780.0,971.2562703204659
1011.07,1632644.0,977.2283297723959
1013.66,1608613.0,982.6930803065364
994.03,3395935.0,984.393618260556
985.18,2306206.0,984.5115755214727
985.24,593319.0,984.6208391932516
990.8,2413311.0,985.5477133142639
989.86,2139387.0,986.1945563171244
