VWAP,Volume,EMA
8861.69,707460.0,8861.69
8863.37,456995.0,8861.942
8910.84,351157.0,8869.276699999999
8878.82,205161.0,8870.708195
8797.99,318669.0,8859.800465749999
8789.11,391645.0,8849.196895887499
8774.33,392186.0,8837.966861504374
8819.84,276298.0,8835.247832278717
8814.49,253037.0,8832.13415743691
8803.32,227030.0,8827.812033821374
8836.98,452568.0,8829.187228748167
8832.95,247514.0,8829.751644435943
8826.87,214587.0,8829.31939777055
8748.94,298434.0,8817.262488104967
8666.14,323478.0,8794.594114889222
8655.8,363931.0,8773.774997655837
8684.68,317544.0,8760.410748007462
8673.9,242982.0,8747.434135806341
8599.97,220225.0,8725.31451543539
8649.43,370998.0,8713.931838120081
8732.1,333441.0,8716.657062402068
8603.89,603893.0,8699.742003041758
8592.12,437977.0,8683.598702585494
8629.17,275417.0,8675.434397197669
8672.58,348171.0,8675.006237618018
8619.64,431466.0,8666.701301975314
8565.93,516128.0,8651.585606679017
8549.43,479314.0,8636.262265677164
8484.81,349510.0,8613.544425825588
8575.43,509229.0,8607.82726195175
8464.67,340261.0,8586.353672658988
8357.14,471602.0,8551.97162176014
8192.41,488199.0,8498.03737849612
8239.45,287497.0,8459.249271721701
8250.59,218120.0,8427.950380963446
8338.41,540553.0,8414.51932381893
8302.24,391840.0,8397.67742524609
8269.77,364326.0,8378.491311459175
8220.87,360349.0,8354.848114740298
8243.35,339851.0,8338.123397529253
8298.89,478757.0,8332.238387899864
8501.01,627265.0,8357.554129714885
8455.19,272888.0,8372.199510257651
8476.9,309551.0,8387.904583719002
8482.41,308275.0,8402.080396161153
8629.0,409240.0,8436.11833673698
8662.87,408458.0,8470.131086226433
8668.81,480202.0,8499.932923292467
8693.36,489356.0,8528.946984798597
8726.58,276111.0,8558.591937078807
8691.62,280819.0,8578.546146516986
8717.25,369060.0,8599.351724539438
8599.82,424157.0,8599.42196585852
8476.39,543745.0,8580.967170979742
8454.48,906406.0,8561.99409533278
8495.98,959058.0,8552.091981032863
8512.61,536521.0,8546.169683877933
8576.85,387567.0,8550.771731296243
8736.34,865562.0,8578.606971601806
8798.66,537008.0,8611.614925861535
8780.97,271926.0,8637.018186982305
8926.06,951591.0,8680.374458934959
9056.62,678780.0,8736.811290094714
9102.91,415394.0,8791.726096580507
9115.25,366827.0,8840.254682093431
9245.1,644550.0,8900.981479779417
9275.88,403028.0,8957.216257812504
9233.32,259316.0,8998.631819140628
9112.41,448981.0,9015.698546269534
9083.78,290482.0,9025.910764329103
9090.66,272497.0,9035.623149679737
9021.45,543472.0,9033.497177227777
9144.98,182115.0,9050.21960064361
9201.24,269008.0,9072.872660547067
9277.46,470365.0,9103.560761465007
9262.5,218979.0,9127.401647245257
9385.38,346760.0,9166.098400158467
9369.96,236834.0,9196.677640134698
9367.82,372004.0,9222.348994114493
9357.38,1614766.0,9242.603644997318
9306.45,378706.0,9252.18059824772
9428.06,445105.0,9278.56250851056
9588.84,434649.0,9325.104132233977
9718.17,542318.0,9384.06401239888
9729.88,453747.0,9435.936410539047
9680.9,273746.0,9472.68094895819
9656.06,161389.0,9500.187806614462
9561.79,316879.0,9509.428135622293
9552.46,561014.0,9515.88291527895
9544.05,328167.0,9520.107977987107
9628.01,459978.0,9536.293281289041
9603.49,682099.0,9546.372789095685
9581.29,395006.0,9551.610370731332
9476.15,612713.0,9540.291315121633
9446.39,356331.0,9526.206117853388
9429.94,288487.0,9511.76620017538
9351.8,309138.0,9487.771270149073
9418.77,405168.0,9477.421079626713
9445.46,339375.0,9472.626917682705
9527.27,482586.0,9480.823380030299
9750.92,845006.0,9521.337873025754
9697.47,398066.0,9547.75769207189
9651.35,247673.0,9563.296538261106
9885.78,815044.0,9611.66905752194
9886.72,652120.0,9652.926698893649
9867.18,457050.0,9685.0646940596
9815.04,272008.0,9704.56098995066
9896.29,568772.0,9733.32034145806
9861.81,552967.0,9752.593790239353
9720.05,519564.0,9747.712221703448
9633.83,498441.0,9730.629888447931
9614.12,444583.0,9713.153405180741
9670.63,320985.0,9706.774894403628
9614.98,450254.0,9693.005660243083
9696.19,466813.0,9693.48331120662
9774.8,328483.0,9705.680814525627
9736.0,358506.0,9710.228692346782
9718.0,240998.0,9711.394388494766
9765.42,209861.0,9719.49823022055
9754.92,256672.0,9724.811495687467
9631.72,381151.0,9710.847771334347
9766.65,600060.0,9719.218105634194
9742.7,1394528.0,9722.740389789065
9632.53,672815.0,9709.208831320706
9593.72,614897.0,9691.885506622599
9527.63,540470.0,9667.247180629209
9498.87,366329.0,9641.990603534827
9569.26,430636.0,9631.081013004601
9460.76,404602.0,9605.53286105391
9412.8,523490.0,9576.622931895823
9387.37,498504.0,9548.23499211145
9321.87,336864.0,9514.280243294732
9346.2,336363.0,9489.068206800523
9398.61,402798.0,9475.499475780443
9430.89,400745.0,9468.808054413377
9441.38,375347.0,9464.69384625137
9474.32,435930.0,9466.137769313664
9562.25,546842.0,9480.554603916615
9606.93,385559.0,9499.510913329123
9558.47,346449.0,9508.354776329754
9612.36,325938.0,9523.95555988029
9620.76,317224.0,9538.476225898246
9729.82,543634.0,9567.17779201351
9989.32,1581818.0,9630.499123211483
10210.53,1193178.0,9717.50375472976
10376.66,819552.0,9816.377191520296
10320.89,507107.0,9892.054112792252
10173.32,663758.0,9934.243995873414
10242.15,445805.0,9980.429896492402
10349.04,439721.0,10035.721412018542
10488.38,598050.0,10103.62020021576
10483.48,568773.0,10160.599170183395
10468.27,301707.0,10206.749794655885
10501.76,501196.0,10251.0013254575
10523.66,544616.0,10291.900126638877
10556.6,430213.0,10331.605107643045
10392.1,545106.0,10340.679341496589
10259.44,577252.0,10328.4934402721
10466.18,986206.0,10349.146424231283
10641.67,756801.0,10393.024960596591
10557.15,452503.0,10417.643716507102
10603.31,458359.0,10445.493659031035
10617.43,598144.0,10471.284110176379
10627.03,481725.0,10494.645993649921
10381.57,623006.0,10477.684594602433
10146.41,407793.0,10427.993405412068
10178.13,377196.0,10390.513894600257
10299.91,335700.0,10376.923310410217
10260.09,230083.0,10359.398313848684
10375.13,348342.0,10361.758066771381
10407.0,193526.0,10368.544356755672
10553.58,569237.0,10396.29970324232
10668.82,625954.0,10437.177747755974
10727.79,304196.0,10480.769585592578
10720.02,474718.0,10516.65714775369
10771.47,267435.0,10554.879075590636
10763.76,286284.0,10586.21121425204
10745.54,232512.0,10610.110532114233
10606.83,227925.0,10609.618452297098
10586.22,401105.0,10606.108684452533
10461.87,506129.0,10584.472881784654
10665.75,1116713.0,10596.664449516955
10427.57,991168.0,10571.300282089413
10411.82,439996.0,10547.378239776
10272.86,699116.0,10506.2005038096
10274.45,569194.0,10471.43792823816
10297.15,517582.0,10445.294739002436
10286.44,490459.0,10421.466528152072
10281.51,264935.0,10400.473048929261
10310.09,287006.0,10386.915591589874
10401.96,310536.0,10389.172252851393
10376.76,206395.0,10387.310414923682
10434.43,27259.0,10394.378352685131
10395.1,261891.0,10394.48659978236
10425.13,436538.0,10399.083109815007
10482.19,488715.0,10411.549143342754
10545.91,403772.0,10431.703271841341
10554.12,234246.0,10450.065781065141
10538.17,312242.0,10463.28141390537
10473.07,378891.0,10464.749701819563
10455.13,453820.0,10463.306746546628
10514.92,380306.0,10471.048734564632
10531.85,268026.0,10480.168924379937
10566.92,343341.0,10493.181585722947
10595.76,665660.0,10508.568347864504
10654.73,591519.0,10530.492595684827
10537.27,625235.0,10531.509206332103
10692.55,580996.0,10555.665325382286
10660.78,464163.0,10571.432526574943
10751.25,704413.0,10598.4051475887
10626.93,548373.0,10602.683875450397
10567.15,579749.0,10597.353794132838
10443.84,1088687.0,10574.32672501291
10335.43,603469.0,10538.492216260975
10360.25,635475.0,10511.755883821828
10266.04,1244681.0,10474.898501248555
10293.03,652498.0,10447.618226061271
10250.8,585734.0,10418.095492152079
10182.4,964051.0,10382.741168329267
10021.63,739806.0,10328.574493079876
10207.12,652545.0,10310.356319117893
10222.88,395273.0,10297.23487125021
10266.37,397675.0,10292.605140562679
10253.57,584234.0,10286.749869478277
10326.68,705227.0,10292.739389056536
10274.79,411724.0,10290.046980698056
10202.56,776837.0,10276.923933593347
10101.72,521046.0,10250.643343554344
10012.71,711733.0,10214.953342021192
10008.08,673131.0,10183.922340718012
9984.92,600153.0,10154.07198961031
9973.98,666469.0,10127.058191168762
10004.8,481699.0,10108.719462493447
10056.45,1024815.0,10100.87904311943
9971.01,850190.0,10081.398686651515
10023.92,463380.0,10072.776883653787
10187.24,536823.0,10089.946351105718
10070.6,610250.0,10087.04439843986
9920.1,614860.0,10062.00273867388
10014.13,377018.0,10054.821827872798
10000.49,92601.0,10046.672053691878
9902.81,956269.0,10025.092745638096
9892.98,459092.0,10005.27583379238
9888.25,718817.0,9987.721958723523
9992.75,446516.0,9988.476164914995
9984.28,399869.0,9987.846740177745
10118.24,997024.0,10007.405729151084
