VWAP,Volume,EMA
1128.63,2393911.0,1128.63
1147.38,3048359.0,1131.4425
1146.37,1814055.0,1133.681625
1141.29,2070175.0,1134.82288125
1135.18,1931191.0,1134.8764490625
1144.35,2848255.0,1136.297481703125
1147.12,1501083.0,1137.9208594476563
1116.44,3185163.0,1134.6987305305079
1111.98,2009185.0,1131.2909209509316
1133.48,3938046.0,1131.619282808292
1127.7,1648954.0,1131.031390387048
1139.88,2369355.0,1132.358681828991
1112.87,1958807.0,1129.4353795546422
1121.92,1706036.0,1128.3080726214457
1111.77,1313278.0,1125.8273617282289
1096.99,2212194.0,1121.5017574689946
1100.16,2139983.0,1118.3004938486454
1093.51,1684570.0,1114.5819197713486
1082.03,1834553.0,1109.6991318056462
1077.92,20793703.0,1104.9322620347994
1095.38,1655100.0,1103.4994227295795
1105.51,4074162.0,1103.8010093201424
1122.59,3253621.0,1106.619357922121
1133.86,4091674.0,1110.7054542338028
1117.51,3209393.0,1111.7261360987325
1117.89,1834324.0,1112.6507156839225
1112.07,1193681.0,1112.563608331334
1107.88,3028387.0,1111.8610670816338
1081.21,3683544.0,1107.2634070193888
1081.72,1528510.0,1103.4318959664804
1077.46,1812907.0,1099.5361115715082
1105.26,5350523.0,1100.394694835782
1091.87,2066169.0,1099.1159906104147
1083.16,2421127.0,1096.7225920188523
1087.88,1382329.0,1095.3962032160243
1067.83,2178855.0,1091.2612727336207
1060.03,2688253.0,1086.5765818235775
1056.52,1459887.0,1082.0680945500408
1049.94,2965015.0,1077.2488803675346
1057.22,2478745.0,1074.2445483124045
1087.13,3131614.0,1076.1773660655438
1094.12,1540702.0,1078.8687611557123
1101.7,3342291.0,1082.2934469823554
1095.65,2378264.0,1084.296929935002
1100.74,711625.0,1086.7633904447516
1091.82,2318905.0,1087.5218818780388
1089.49,2715967.0,1087.8170995963328
1071.86,3071057.0,1085.4235346568828
1033.9,9509446.0,1077.6950044583502
1057.71,3686404.0,1074.6972537895977
1044.63,4322881.0,1070.187165721158
1040.2,3057560.0,1065.6890908629844
1050.19,7708194.0,1063.3642272335367
1053.32,2033625.0,1061.857593148506
1053.49,1237595.0,1060.6024541762301
1061.49,1647101.0,1060.7355860497955
1068.69,1654910.0,1061.9287481423262
1062.22,2629188.0,1061.9724359209772
1068.55,1905168.0,1062.9590705328305
1058.91,1649820.0,1062.3517099529058
1057.62,1403672.0,1061.64195345997
1057.98,1641673.0,1061.0926604409744
1069.79,1389075.0,1062.3972613748283
1076.88,2981949.0,1064.569672168604
1078.23,2091411.0,1066.6187213433134
1087.76,2653108.0,1069.7899131418162
1094.29,1585037.0,1073.4649261705438
1100.81,1523466.0,1077.5666872449622
1097.44,1166324.0,1080.5476841582179
1073.08,3602382.0,1079.4275315344853
1079.37,1515743.0,1079.4189018043126
1096.99,1984436.0,1082.0545665336656
1111.68,1864932.0,1086.4983815536157
1120.4,2138096.0,1091.5836243205733
1109.86,1302744.0,1094.3250806724873
1112.59,1124803.0,1097.064818571614
1133.77,1635167.0,1102.570595785872
1131.15,1288914.0,1106.8575064179913
1137.7,1983735.0,1111.4838804552926
1145.58,5967930.0,1116.5982983869985
1144.37,1445692.0,1120.7640536289487
1138.67,1336554.0,1123.4499455846064
1142.25,1435758.0,1126.2699537469155
1122.72,1943605.0,1125.737460684878
1127.38,2459039.0,1125.9838415821464
1125.63,1385218.0,1125.9307653448243
1120.05,1824218.0,1125.0486505431006
1134.44,1670970.0,1126.4573529616355
1134.57,2014656.0,1127.67425001739
1132.38,836964.0,1128.3801125147816
1143.22,2109652.0,1130.6060956375643
1146.53,2909817.0,1132.9946812919295
1142.01,1278608.0,1134.34697909814
1158.98,3504867.0,1138.0419322334192
1168.14,2019683.0,1142.5566423984064
1163.93,972005.0,1145.7626460386455
1161.67,1699790.0,1148.1487491328487
1168.77,1190307.0,1151.2419367629213
1168.65,1504039.0,1153.853146248483
1170.47,1424076.0,1156.3456743112106
1183.76,3036648.0,1160.457823164529
1182.52,1749952.0,1163.7671496898495
1185.7,1094468.0,1167.057077236372
1194.95,1653610.0,1171.241015650916
1183.89,2334220.0,1173.1383633032788
1166.35,2159585.0,1172.120108807787
1128.65,3960400.0,1165.5995924866188
1117.15,4982603.0,1158.332153613626
1111.94,3824027.0,1151.373330571582
1105.64,12294227.0,1144.5133309858447
1139.55,6605038.0,1143.7688313379679
1160.4,3159479.0,1146.2635066372727
1160.62,2431478.0,1148.416980641682
1167.08,2242397.0,1151.2164335454295
1153.08,1990001.0,1151.495968513615
1119.65,5259150.0,1146.7190732365727
1119.28,2672505.0,1142.6032122510867
1110.93,2506726.0,1137.8522304134235
1115.19,1969964.0,1134.45289585141
1115.83,1769815.0,1131.6594614736985
1105.77,2031899.0,1127.7760422526435
1110.3,2526624.0,1125.154635914747
1128.58,2710536.0,1125.6684405275348
1130.19,2701150.0,1126.3466744484044
1124.57,1608187.0,1126.0801732811437
1145.33,3315303.0,1128.967647288972
1150.89,1655404.0,1132.2560001956263
1144.6,1667697.0,1134.1076001662823
1137.23,1559337.0,1134.57596014134
1134.81,1676669.0,1134.6110661201387
1175.12,7391806.0,1140.687406202118
1167.1,1720940.0,1144.6492952718002
1178.84,2567226.0,1149.7779009810301
1174.65,2331256.0,1153.5087158338756
1170.23,3406088.0,1156.0169084587942
1180.73,1661946.0,1159.723872189975
1180.42,1805887.0,1162.8282913614787
1183.73,2347850.0,1165.9635476572569
1181.69,2464221.0,1168.3225155086682
1158.89,2105159.0,1166.907638182368
