VWAP,Volume,EMA
1072.82,7563064.0,1072.82
1059.91,4494575.0,1070.8835
1103.83,9207051.0,1075.8254749999999
1126.22,2865938.0,1083.3846537499999
1138.5,3603258.0,1091.6519556874998
1144.72,1675932.0,1099.612162334375
1154.11,2284751.0,1107.7868379842187
1159.98,2126093.0,1115.6158122865859
1158.63,2112106.0,1122.067940443598
1152.85,2433798.0,1126.6852493770582
1149.59,2050158.0,1130.1209619704994
1149.98,1918858.0,1133.0998176749245
1122.32,3146155.0,1131.4828450236857
1113.55,1613608.0,1128.7929182701328
1102.34,1767689.0,1124.8249805296127
1089.09,1983022.0,1119.4647334501708
1078.89,3193602.0,1113.3785234326451
1078.21,1862986.0,1108.1032449177483
1079.98,2047252.0,1103.884758180086
1076.71,1360243.0,1099.8085444530732
1087.18,4006038.0,1097.9142627851122
1101.21,3831094.0,1098.4086233673454
1121.16,3365349.0,1101.8213298622436
1129.23,3623590.0,1105.932630382907
1152.49,7227479.0,1112.916235825471
1170.48,3086720.0,1121.5508004516503
1150.58,3255900.0,1125.9051803839027
1076.86,12242080.0,1118.5484033263172
1065.68,5410127.0,1110.6181428273696
1061.31,4117107.0,1103.221921403264
1016.79,9261210.0,1090.2571331927745
1016.06,5324960.0,1079.1275632138581
1001.37,5439347.0,1067.4639287317793
1012.14,6200518.0,1059.1653394220123
1034.4,2992139.0,1055.4505385087105
1034.02,3703523.0,1052.235957732404
1015.32,2709449.0,1046.6985640725434
1012.46,2116764.0,1041.5627794616619
1028.51,4396283.0,1039.6048625424125
1046.88,5803091.0,1040.6961331610505
1069.37,3097113.0,1044.9972131868928
1073.54,1534155.0,1049.278631208859
1067.58,2979782.0,1052.0238365275302
1082.26,3458673.0,1056.5592610484007
1071.5,1602094.0,1058.8003718911405
1072.15,1932390.0,1060.8028161074694
1067.25,3005913.0,1061.7698936913491
1078.05,6082307.0,1064.2119096376468
1122.24,5360050.0,1072.9161231919998
1140.62,4455007.0,1083.0717047131998
1128.39,2207739.0,1089.8694490062198
1122.18,2530597.0,1094.7160316552868
1121.19,1894300.0,1098.6871269069939
1116.24,7711772.0,1101.3200578709448
1121.02,5268567.0,1104.275049190303
1131.74,2688362.0,1108.3947918117576
1142.83,2990958.0,1113.560073039994
1145.51,2239678.0,1118.3525620839948
1155.92,2000569.0,1123.9876777713955
1148.38,1816420.0,1127.6465261056862
1136.71,2752160.0,1129.0060471898332
1104.96,8504838.0,1125.3991401113583
1123.16,6764292.0,1125.0632690946545
1142.16,4181498.0,1127.6277787304564
1164.61,6466598.0,1133.175111920888
1188.42,6086958.0,1141.4618451327547
1196.3,3983609.0,1149.6875683628414
1213.39,3323300.0,1159.2429331084152
1220.12,2888698.0,1168.374493142153
1233.12,4661849.0,1178.08631917083
1238.06,2489971.0,1187.0823712952053
1234.84,2366675.0,1194.2460156009245
1241.94,2106351.0,1201.4001132607857
1259.85,2142459.0,1210.167596271668
1262.55,2782379.0,1218.0249568309175
1260.46,2589092.0,1224.3902133062797
1264.83,1981580.0,1230.4561813103378
1288.68,2985334.0,1239.189754113787
1287.9,1818000.0,1246.496290996719
1286.91,2764078.0,1252.5583473472109
1287.32,3244947.0,1257.7725952451292
1285.01,1912458.0,1261.8582059583598
1297.53,3040374.0,1267.2089750646057
1309.04,2902701.0,1273.4836288049148
1309.41,2679118.0,1278.8725844841774
1312.54,3215312.0,1283.9226968115508
1329.46,4233651.0,1290.7532922898183
1328.13,1904622.0,1296.3597984463454
1338.47,3756073.0,1302.6763286793937
1326.26,2858453.0,1306.2138793774848
1299.3,5952095.0,1305.176797470862
1305.56,3508045.0,1305.2342778502327
1301.0,2679485.0,1304.5991361726979
1292.27,2102065.0,1302.7497657467932
1293.88,1490552.0,1301.4193008847742
1277.78,3185099.0,1297.873405752058
1297.31,4636121.0,1297.7888948892491
1315.72,2236596.0,1300.4785606558617
1306.81,2638788.0,1301.4282765574824
1333.45,5550351.0,1306.23153507386
