VWAP,Volume,EMA
2783.06,408279.0,2783.06
2663.66,453723.0,2765.15
2646.53,328028.0,2747.357
2688.29,252416.0,2738.4969499999997
2647.23,421543.0,2724.8069075
2611.43,793670.0,2707.800371375
2568.35,1266011.0,2686.88281566875
2575.08,283858.0,2670.1123933184376
2571.07,327921.0,2655.256034320672
2549.15,409279.0,2639.340129172571
2548.92,643367.0,2625.777109796685
2559.69,433077.0,2615.8640433271826
2519.36,705628.0,2601.388436828105
2527.8,182493.0,2590.3501713038895
2525.59,203273.0,2580.636145608306
2513.59,310260.0,2570.5792237670603
2495.0,294710.0,2559.2423402020013
2490.05,255112.0,2548.863489171701
2444.94,293892.0,2533.2749657959457
2427.85,542868.0,2517.461220926554
2426.75,293122.0,2503.8545377875703
2465.65,525446.0,2498.1238571194344
2467.85,197868.0,2493.582778551519
2481.0,203422.0,2491.695361768791
2464.72,286894.0,2487.6490575034722
2454.13,244591.0,2482.6211988779514
2431.85,224485.0,2475.005519046259
2399.04,249618.0,2463.6106911893203
2388.84,302570.0,2452.395087510922
2388.4,217071.0,2442.795824384284
2383.9,577586.0,2433.9614507266415
2353.27,628419.0,2421.8577331176452
2326.35,352432.0,2407.531573149998
2347.7,291142.0,2398.5568371774984
2355.59,166790.0,2392.1118116008734
2368.94,371585.0,2388.636039860742
2330.64,272040.0,2379.9366338816308
2315.25,238881.0,2370.233638799386
2263.17,456838.0,2354.174092979478
2289.6,712847.0,2344.487979032556
2338.49,302919.0,2343.588282177672
2416.27,787785.0,2354.4905398510214
2430.02,289012.0,2365.8199588733683
2423.73,211340.0,2374.506465042363
2450.24,261131.0,2385.866495286008
2465.41,575155.0,2397.7980209931065
2475.08,464883.0,2409.3903178441406
2449.93,458472.0,2415.4712701675194
2451.64,656224.0,2420.8965796423913
2445.27,397381.0,2424.5525926960327
2440.9,247426.0,2427.0047037916274
2444.92,315314.0,2429.6919982228833
2465.88,699932.0,2435.120198489451
2502.16,686216.0,2445.1761687160333
2513.13,538138.0,2455.3692434086283
2502.46,560280.0,2462.432856897334
2513.79,685268.0,2470.136428362734
2542.06,721370.0,2480.9249641083243
2497.04,997629.0,2483.3422194920754
2503.33,863935.0,2486.340386568264
2515.16,684323.0,2490.6633285830244
2537.35,1527593.0,2497.6663292955704
2577.19,855245.0,2509.594879901235
2595.42,556418.0,2522.4686479160496
2582.67,549062.0,2531.498850728642
2585.86,506829.0,2539.6530231193456
2602.96,718178.0,2549.149069651444
2678.31,1383562.0,2568.5232092037268
2699.43,602177.0,2588.1592278231674
2726.66,1169727.0,2608.934343649692
2744.21,610410.0,2629.225692102238
2706.25,458137.0,2640.779338286902
2698.71,241924.0,2649.468937543867
2699.69,224454.0,2657.002096912287
2731.1,402069.0,2668.116782375444
2734.04,208718.0,2678.0052650191274
2739.7,167210.0,2687.259475266258
2766.7,462628.0,2699.1755539763194
2778.7,399817.0,2711.1042208798713
2761.72,773286.0,2718.69658774789
2794.65,552629.0,2730.0895995857063
2880.6,2090599.0,2752.6661596478502
2887.77,620625.0,2772.9317357006726
2899.46,729992.0,2791.9109753455714
2951.71,996180.0,2815.8808290437355
2989.22,1150017.0,2841.881704687175
2949.31,826404.0,2857.9959489840985
2916.44,617327.0,2866.7625566364836
2936.23,973087.0,2877.182673141011
2936.28,304861.0,2886.0472721698593
2880.7,951322.0,2885.2451813443804
2826.91,1029235.0,2876.4949041427235
2793.31,671364.0,2864.0171685213145
2777.32,872568.0,2851.0125932431174
2818.95,407191.0,2846.2032042566498
2841.5,578572.0,2845.497723618152
2803.62,381689.0,2839.2160650754295
2832.13,583691.0,2838.153155314115
2844.07,415101.0,2839.0406820169974
2823.2,781032.0,2836.664579714448
2894.8,962194.0,2845.384892757281
2888.84,818522.0,2851.9031588436887
2986.0,2177103.0,2872.0176850171356
3119.39,3069147.0,2909.1235322645653
3164.95,1676341.0,2947.49750242488
3147.16,931135.0,2977.4468770611484
3119.26,570281.0,2998.7188455019764
3103.64,663715.0,3014.4570186766796
3080.3,739038.0,3024.333465875178
3100.15,665215.0,3035.705945993901
3110.05,811153.0,3046.857554094816
3096.14,909246.0,3054.2499209805933
3107.8,578275.0,3062.282432833504
3098.9,486164.0,3067.7750679084784
3076.4,735511.0,3069.0688077222067
3090.74,749722.0,3072.3194865638757
3130.21,784541.0,3081.003063579294
3157.35,748386.0,3092.4551040424
3160.33,509747.0,3102.6363384360398
3125.09,524436.0,3106.0043876706336
3154.01,445865.0,3113.2052295200383
3206.72,933273.0,3127.2324450920323
3114.11,3043469.0,3125.2640783282277
3019.76,2692656.0,3109.4384665789935
2969.06,1250490.0,3088.381696592144
2947.9,642027.0,3067.3094421033225
2947.53,444210.0,3049.342525787824
3059.66,2020469.0,3050.8901469196503
3039.16,548711.0,3049.1306248817027
3038.06,476401.0,3047.470031149447
3007.61,816082.0,3041.49102647703
2987.33,526850.0,3033.3668725054754
2972.68,753515.0,3024.263841629654
2984.28,565973.0,3018.2662653852058
2937.61,560922.0,3006.167825577425
2930.72,328451.0,2994.8506517408114
2939.38,255764.0,2986.53005397969
2950.0,325912.0,2981.0505458827365
2942.62,273751.0,2975.285964000326
2913.37,429528.0,2965.998569400277
2937.03,303029.0,2961.6532839902356
2974.98,590653.0,2963.6522913917
2981.74,415898.0,2966.365447682945
2924.54,920121.0,2960.091630530503
2930.22,331811.0,2955.6108859509277
2940.58,643279.0,2953.3562530582885
2944.3,306742.0,2951.9978150995453
2934.82,275916.0,2949.4211428346134
2954.79,242002.0,2950.2264714094213
3004.56,569352.0,2958.3765006980084
3040.2,486566.0,2970.650025593307
3043.2,429664.0,2981.532521754311
2999.37,290774.0,2984.2081434911643
2997.99,311245.0,2986.2754219674894
3067.24,949607.0,2998.4201086723656
3106.8,897322.0,3014.6770923715108
3095.79,575906.0,3026.844028515784
3010.94,585566.0,3024.4584242384162
3022.42,323540.0,3024.1526606026537
2987.71,408884.0,3018.6862615122554
3015.65,372568.0,3018.2308222854167
3013.3,222370.0,3017.491198942604
2989.08,331995.0,3013.2295191012136
3031.92,375842.0,3016.0330912360314
3017.22,387906.0,3016.2111275506268
2998.51,307263.0,3013.555958418033
3015.46,537209.0,3013.8415646553276
3034.47,180660.0,3016.9358299570285
2969.31,976306.0,3009.791955463474
2976.44,467743.0,3004.789162143953
3078.43,1048795.0,3015.83528782236
3102.29,927642.0,3028.803494649006
3102.56,374642.0,3039.866970451655
3149.38,966651.0,3056.293924883907
3177.63,416816.0,3074.494336151321
3165.25,344063.0,3088.1076857286225
3227.36,1129769.0,3108.995532869329
3232.58,458086.0,3127.533202938929
3179.1,313646.0,3135.2682224980895
3134.98,391029.0,3135.224989123376
3102.94,461475.0,3130.382240754869
3124.26,314423.0,3129.4639046416387
3097.84,265215.0,3124.7203189453926
3101.43,207132.0,3121.226771103584
3105.86,473455.0,3118.921755438046
3068.24,1268028.0,3111.319492122339
3094.9,411691.0,3108.8565683039883
3158.41,850503.0,3116.2895830583902
3139.07,355269.0,3119.706645599632
3139.66,459324.0,3122.699648759687
3177.71,604807.0,3130.951201445734
3117.06,820659.0,3128.8675212288736
3119.68,40616.0,3127.4893930445423
3121.16,386501.0,3126.539984087861
3162.59,570652.0,3131.9474864746817
3250.0,963718.0,3149.6553635034793
3340.08,947293.0,3178.2190589779575
3345.7,677714.0,3203.341200131264
3371.73,742294.0,3228.5995201115743
3409.59,775145.0,3255.7480920948383
3525.61,1726414.0,3296.2273782806124
3550.83,514405.0,3334.4177715385204
3605.8,659645.0,3375.1251058077423
3727.41,1561256.0,3427.9678399365807
3837.56,2909100.0,3489.4066639460934
3809.38,1060628.0,3537.4026643541797
3817.01,1018705.0,3579.343764701053
3799.66,713163.0,3612.391199995895
3765.81,672675.0,3635.40401999651
3783.05,500651.0,3657.5509169970337
3727.38,779332.0,3668.0252794474786
3703.01,451738.0,3673.2729875303567
3759.58,598126.0,3686.219039400803
3827.43,1355603.0,3707.4006834906822
3873.34,1067427.0,3732.2915809670794
3909.36,924599.0,3758.8518438220176
3911.16,725829.0,3781.698067248715
3832.84,560186.0,3789.3693571614076
3852.31,595832.0,3798.8104535871967
3821.39,410786.0,3802.197385549117
3909.92,573168.0,3818.3557777167493
4045.03,1149831.0,3852.356911059237
4054.93,683058.0,3882.742874400351
4150.41,1714818.0,3922.892943240298
4153.37,383687.0,3957.4645017542534
4132.89,392408.0,3983.7783264911154
4071.61,507848.0,3996.953077517448
4001.88,896596.0,3997.692115889831
3954.45,630734.0,3991.205798506356
4002.11,593042.0,3992.8414287304026
4022.18,508360.0,3997.242214420842
4105.3,1043602.0,4013.450882257716
4116.56,511944.0,4028.917249919058
4304.32,2133475.0,4070.227662431199
4349.04,905401.0,4112.0495130665195
4370.46,490217.0,4150.811086106542
4409.92,972808.0,4189.67742319056
4391.9,443836.0,4220.010809711976
4375.65,570816.0,4243.3566882551795
4400.36,383901.0,4266.907185016902
4406.51,111872.0,4287.847607264367
4496.38,1399043.0,4319.127466174712
4370.76,596736.0,4326.872346248505
4432.31,664356.0,4342.687994311229
4534.04,418127.0,4371.390795164544
4626.08,709726.0,4409.5941758898625
4599.21,645505.0,4438.036549506383
